,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket,vote_percentage
0,2020,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,False,False,JAMES AVERHART,DEMOCRAT,False,TOTAL,116949,329075,False,20250910,False,35.54
1,2020,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,False,False,JERRY CARL,REPUBLICAN,False,TOTAL,211825,329075,False,20250910,False,64.37
3,2020,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,False,False,BARRY MOORE,REPUBLICAN,False,TOTAL,197996,303569,False,20250910,False,65.22
4,2020,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,False,False,PHYLLIS HARVEY-HALL,DEMOCRAT,False,TOTAL,105286,303569,False,20250910,False,34.68
6,2020,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,False,False,ADIA WINFREY,DEMOCRAT,False,TOTAL,104595,322234,False,20250910,False,32.46
7,2020,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,False,False,MIKE ROGERS,REPUBLICAN,False,TOTAL,217384,322234,False,20250910,False,67.46
10,2020,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,False,False,ROBERT B ADERHOLT,REPUBLICAN,False,TOTAL,261553,318029,False,20250910,False,82.24
12,2020,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,False,False,MO BROOKS,REPUBLICAN,False,TOTAL,253094,264160,False,20250910,False,95.81
14,2020,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,False,False,GARY J PALMER,REPUBLICAN,False,TOTAL,274160,282261,False,20250910,False,97.13
16,2020,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,False,False,TERRI A SEWELL,DEMOCRAT,False,TOTAL,225742,232331,False,20250910,False,97.16
18,2020,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,ALYSE S GALVIN,DEMOCRAT,False,TOTAL,159856,353165,False,20250910,False,45.26
19,2020,ALASKA,AK,2,94,81,US HOUSE,0,GEN,False,False,DON YOUNG,REPUBLICAN,False,TOTAL,192126,353165,False,20250910,False,54.4
21,2020,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,False,False,TIFFANY SHEDD,REPUBLICAN,False,TOTAL,176709,365178,False,20250910,False,48.39
22,2020,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,False,False,TOM O'HALLERAN,DEMOCRAT,False,TOTAL,188469,365178,False,20250910,False,51.61
23,2020,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,False,False,ANN KIRKPATRICK,DEMOCRAT,False,TOTAL,209945,381054,False,20250910,False,55.1
24,2020,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,False,False,BRANDON MARTIN,REPUBLICAN,False,TOTAL,170975,381054,False,20250910,False,44.87
27,2020,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,False,False,DANIEL WOOD,REPUBLICAN,False,TOTAL,95594,269837,False,20250910,False,35.43
28,2020,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,False,False,RAUL M GRIJALVA,DEMOCRAT,False,TOTAL,174243,269837,False,20250910,False,64.57
31,2020,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,False,False,DELINA DISANTO,DEMOCRAT,False,TOTAL,120484,398623,False,20250910,False,30.23
35,2020,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,False,False,PAUL A GOSAR,REPUBLICAN,False,TOTAL,278002,398623,False,20250910,False,69.74
36,2020,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,False,False,ANDY BIGGS,REPUBLICAN,False,TOTAL,262414,445657,False,20250910,False,58.88
37,2020,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,False,False,JOAN GREENE,DEMOCRAT,False,TOTAL,183171,445657,False,20250910,False,41.1
39,2020,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,False,False,DAVID SCHWEIKERT,REPUBLICAN,False,TOTAL,217783,417427,False,20250910,False,52.17
40,2020,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,False,False,HIRAL TIPIRNENI,DEMOCRAT,False,TOTAL,199644,417427,False,20250910,False,47.83
42,2020,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,False,False,JOSHUA BARNETT,REPUBLICAN,False,TOTAL,50226,215732,False,20250910,False,23.28
44,2020,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,False,False,RUBEN GALLEGO,DEMOCRAT,False,TOTAL,165452,215732,False,20250910,False,76.69
45,2020,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,False,False,DEBBIE LESKO,REPUBLICAN,False,TOTAL,251633,422467,False,20250910,False,59.56
46,2020,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,False,False,MICHAEL MUSCATO,DEMOCRAT,False,TOTAL,170816,422467,False,20250910,False,40.43
48,2020,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,False,False,DAVE GILES,REPUBLICAN,False,TOTAL,135180,352274,False,20250910,False,38.37
49,2020,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,False,False,GREG STANTON,DEMOCRAT,False,TOTAL,217094,352274,False,20250910,False,61.63
50,2020,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,False,False,"ERIC A \""RICK\"" CRAWFORD",REPUBLICAN,False,TOTAL,237596,237596,False,20250910,False,100.0
51,2020,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,False,False,J FRENCH HILL,REPUBLICAN,False,TOTAL,184093,332503,False,20250910,False,55.37
52,2020,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,False,False,JOYCE ELLIOTT,DEMOCRAT,False,TOTAL,148410,332503,False,20250910,False,44.63
53,2020,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,False,False,CELESTE WILLIAMS,DEMOCRAT,False,TOTAL,106325,334262,False,20250910,False,31.81
55,2020,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,False,False,STEVE WOMACK,REPUBLICAN,False,TOTAL,214960,334262,False,20250910,False,64.31
56,2020,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,False,False,BRUCE WESTERMAN,REPUBLICAN,False,TOTAL,191617,275035,False,20250910,False,69.67
58,2020,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,False,False,WILLIAM H HANSON,DEMOCRAT,False,TOTAL,75750,275035,False,20250910,False,27.54
59,2020,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,AUDREY DENNEY,DEMOCRAT,False,TOTAL,154073,358263,False,20250910,False,43.01
60,2020,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,False,False,DOUG LAMALFA,REPUBLICAN,False,TOTAL,204190,358263,False,20250910,False,56.99
61,2020,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,False,False,DALE K MENSING,REPUBLICAN,False,TOTAL,94320,388755,False,20250910,False,24.26
62,2020,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,False,False,JARED HUFFMAN,DEMOCRAT,False,TOTAL,294435,388755,False,20250910,False,75.74
63,2020,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,False,False,JOHN GARAMENDI,DEMOCRAT,False,TOTAL,176043,321988,False,20250910,False,54.67
64,2020,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,False,False,TAMIKA HAMILTON,REPUBLICAN,False,TOTAL,145945,321988,False,20250910,False,45.33
65,2020,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,False,False,BRYNNE S KENNEDY,DEMOCRAT,False,TOTAL,194731,442022,False,20250910,False,44.05
66,2020,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,False,False,TOM MCCLINTOCK,REPUBLICAN,False,TOTAL,247291,442022,False,20250910,False,55.95
67,2020,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,False,False,MIKE THOMPSON,DEMOCRAT,False,TOTAL,271233,356460,False,20250910,False,76.09
68,2020,CALIFORNIA,CA,6,93,71,US HOUSE,5,GEN,False,False,SCOTT GIBLIN,REPUBLICAN,False,TOTAL,85227,356460,False,20250910,False,23.91
69,2020,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,False,False,CHRIS BISH,REPUBLICAN,False,TOTAL,83466,313114,False,20250910,False,26.66
70,2020,CALIFORNIA,CA,6,93,71,US HOUSE,6,GEN,False,False,DORIS O MATSUI,DEMOCRAT,False,TOTAL,229648,313114,False,20250910,False,73.34
71,2020,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,False,False,AMI BERA,DEMOCRAT,False,TOTAL,217416,383965,False,20250910,False,56.62
72,2020,CALIFORNIA,CA,6,93,71,US HOUSE,7,GEN,False,False,BUZZ PATTERSON,REPUBLICAN,False,TOTAL,166549,383965,False,20250910,False,43.38
73,2020,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,False,False,CHRISTINE BUBSER,DEMOCRAT,False,TOTAL,124400,283111,False,20250910,False,43.94
74,2020,CALIFORNIA,CA,6,93,71,US HOUSE,8,GEN,False,False,JAY OBERNOLTE,REPUBLICAN,False,TOTAL,158711,283111,False,20250910,False,56.06
75,2020,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,"ANTONIO C \""TONY\"" AMADOR",REPUBLICAN,False,TOTAL,128358,302610,False,20250910,False,42.42
76,2020,CALIFORNIA,CA,6,93,71,US HOUSE,9,GEN,False,False,JERRY MCNERNEY,DEMOCRAT,False,TOTAL,174252,302610,False,20250910,False,57.58
77,2020,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,JOSH HARDER,DEMOCRAT,False,TOTAL,166865,302494,False,20250910,False,55.16
78,2020,CALIFORNIA,CA,6,93,71,US HOUSE,10,GEN,False,False,TED HOWZE,REPUBLICAN,False,TOTAL,135629,302494,False,20250910,False,44.84
79,2020,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,False,False,MARK DESAULNIER,DEMOCRAT,False,TOTAL,271063,371356,False,20250910,False,72.99
80,2020,CALIFORNIA,CA,6,93,71,US HOUSE,11,GEN,False,False,NISHA SHARMA,REPUBLICAN,False,TOTAL,100293,371356,False,20250910,False,27.01
81,2020,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,False,False,NANCY PELOSI,DEMOCRAT,False,TOTAL,281776,362950,False,20250910,False,77.63
82,2020,CALIFORNIA,CA,6,93,71,US HOUSE,12,GEN,False,False,SHAHID BUTTAR,DEMOCRAT,False,TOTAL,81174,362950,False,20250910,False,22.37
83,2020,CALIFORNIA,CA,6,93,71,US HOUSE,13,GEN,False,False,BARBARA LEE,DEMOCRAT,False,TOTAL,327863,362818,False,20250910,False,90.37
85,2020,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,JACKIE SPEIER,DEMOCRAT,False,TOTAL,278300,351005,False,20250910,False,79.29
86,2020,CALIFORNIA,CA,6,93,71,US HOUSE,14,GEN,False,False,RAN S PETEL,REPUBLICAN,False,TOTAL,72705,351005,False,20250910,False,20.71
87,2020,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,False,False,ALISON HAYDEN,REPUBLICAN,False,TOTAL,99710,342701,False,20250910,False,29.1
88,2020,CALIFORNIA,CA,6,93,71,US HOUSE,15,GEN,False,False,ERIC SWALWELL,DEMOCRAT,False,TOTAL,242991,342701,False,20250910,False,70.9
89,2020,CALIFORNIA,CA,6,93,71,US HOUSE,16,GEN,False,False,JIM COSTA,DEMOCRAT,False,TOTAL,128690,216729,False,20250910,False,59.38
